time,current_A,temperature_C,voltage_V,soc_percent
0,-53.9231895386935,43,3.43153822242689,70
0.0413820086221906,-73.4616568289529,43,3.26584948372193,69.9968724373289
0.0827640172443812,-93.0001241192122,43,3.10008090900219,69.9929130423308
0.124146025866572,-112.538591409472,43,2.93419730360717,69.9881218150057
0.165528034488762,-132.077058699731,43,2.76818143368919,69.9827483050516
0.463089599433717,-272.570405859243,43,1.56320028281103,69.9194003555166
0.485274437789728,-283.044951513032,43,1.47227990732796,69.913094317494
0.498582213402389,-289.328202306582,43,1.41761795812185,69.9091806691715
0.500750616589231,-289.560209839222,43,1.41546568171827,69.9085351069354
0.502919019776074,-288.296639484748,43,1.42608859329809,69.9078908655447
0.50460257234471,-287.315600935813,43,1.43433810421163,69.9073923279177
0.506286124913346,-286.334562386878,43,1.44258937000495,69.9068954992078
0.509239405347847,-284.613628923891,43,1.45706791343371,69.9060281047727
0.538772209692858,-267.404294294032,43,1.60213185694216,69.8976415471432
0.752210851667756,-143.029481466293,43,2.6608269703031,69.8525709532088
0.9176649219619,-46.6162039359682,43,3.48812408957321,69.8364310037478
1.0097000942634,1.70931253499705,43,3.90337606465349,69.8342552227722
1.04045712208655,2.81046263612657,43,3.91284144830258,69.8342836256486
1.07121414990971,3.91161273725609,43,3.92230832904845,69.8343916667743
1.12153399853465,5.71314267443891,43,3.93779836195871,69.8346445723821
1.60488070599711,1.54228360814947,43,3.90199339225503,69.8352174615212
1.75301694927356,-23.4866673125031,43,3.68679669791675,69.8332958993661
1.87614990957009,-44.2910886466179,43,3.5078492738382,69.8290557830511
1.99928286986661,-65.0955099807327,43,3.3287918133981,69.8221646184145
2.04106415795375,-68.0408440217196,43,3.30339026930949,69.8193250762098
2.08284544604089,-70.9143327683857,43,3.27859721854383,69.8163399050642
2.12462673412803,-73.7878215150517,43,3.25379466829731,69.8132282180155
2.27110371870362,-83.8617083216452,43,3.16675802239809,69.8013488222484
2.43437945488346,-95.0909214932897,43,3.06955853399491,69.7863175246991
2.5057949675731,-99.0342105108329,43,3.0353185830169,69.7791929317763
2.52637393123391,-97.0109848737989,43,3.05266857021256,69.7771237127814
2.54695289489472,-94.9877592367648,43,3.07002366180806,69.775091028468
2.56753185855552,-92.9645335997307,43,3.0873840313499,69.7731006737918
2.77332149516361,-72.73227722939,43,3.26123440138171,69.7555613902724
3.68666710947055,-23.6782373038324,43,3.68361371562435,69.7064544433183
3.79103840286714,-40.3086299528804,43,3.53989029070236,69.7029339910255
3.89540969626374,-56.9390226019283,43,3.39610361041867,69.6977562601941
3.97543417042486,-69.6900232221477,43,3.28579397158249,69.6925690489357
4.0072516790794,-71.0864665711873,43,3.273667248695,69.690279798488
4.02136759687631,-66.1852981739628,43,3.31600592963563,69.6892900164069
4.03283568411476,-62.2034793819834,43,3.3504061529805,69.6885316958331
4.04430377135322,-58.2216605900041,43,3.38480926678363,69.6878205027958
4.06628989779655,-50.5878878766873,43,3.45077254474905,69.6865893009589
4.28615116222983,25.7498392564805,43,4.11073820537299,69.6837695799152
4.39712397883885,64.2805582320781,43,4.44408133618444,69.6889099450144
4.47472590565906,91.2246164766215,43,4.67737638543814,69.6951178915981
4.50164728725901,99.2806521718949,43,4.74719581912306,69.6977525456109
4.50611410913448,97.3300521189508,43,4.73034232560333,69.6982029949488
4.51058093100995,95.3794520660066,43,4.71348764775796,69.6986458521536
4.51504775288541,93.4288520130625,43,4.696631693478,69.699079846958
4.55971597164008,73.922851483621,43,4.52801112588183,69.7029249982808
4.89291886734692,-71.5822982911459,43,3.26831155925522,69.7033142934302
4.97275828430378,-106.447080296097,43,2.96596698600945,69.6960039393922
4.99608572098067,-116.633853014061,43,2.87755969298158,69.6933271260263
5.00314160836602,-117.470976896173,43,2.87026133719505,69.692479057706
5.01019749575137,-115.512087876654,43,2.88719759694834,69.6916354589944
5.01728005626695,-113.545793735842,43,2.90420016271628,69.6908007742141
5.02436261678252,-111.57949959503,43,2.92120515696113,69.6899802913483
5.07280404001231,-98.1309612507599,43,3.03757044645883,69.6847542710269
5.5572182723102,26.3722748482466,43,4.11742753958773,69.6663815657415
5.59561677683268,30.3337495326833,43,4.15184725215445,69.6674925282081
5.63401528135517,34.29522421712,43,4.1862742982377,69.668772964017
5.67241378587765,38.2566989015567,43,4.22070796154453,69.6702088758142
5.86678612822396,58.3095921882926,43,4.39512745108562,69.6798714698731
5.97850068866262,69.8348952844496,43,4.49549090006823,69.6872357141279
6.00749709797579,69.7379875047729,43,4.49471765379806,69.6893082924427
6.03117513366535,62.4267393185793,43,4.43123136031069,69.6909009878977
6.04843423402577,57.0975148905086,43,4.38494785810174,69.6919641854587
6.0656933343862,51.768290462438,43,4.33865808266758,69.6929322293072
6.09291815978311,43.3618728899538,43,4.26562886454969,69.6942654063041
6.36516641375217,-40.7023028348884,43,3.53490211469573,69.6946552525277
6.4807641836609,-76.3963104229439,43,3.22435842281454,69.6876904611548
6.50376744233587,-81.5446737628516,43,3.17952995557497,69.6858260246419
6.51326397106833,-79.5502416329611,43,3.19685401088035,69.6850426345624
6.52276049980079,-77.5558095030707,43,3.21417956180561,69.6842749716557
6.53225702853325,-75.5613773731802,43,3.23150675882584,69.6835265342773
6.62722231585785,-55.6170560742757,43,3.40485516921412,69.6771186782466
6.90611378522888,2.95488351926175,43,3.91441138066813,69.6695658403718
7.05107989261835,26.7796277826159,43,4.12181318676725,69.6716834915513
7.12692645412445,32.8780226585018,43,4.174938877065,69.6739710668257
7.20277301563054,38.9764175343877,43,4.22808228442227,69.6767796412313
